# FUND scenario
USA,0
CAN,0
WEU,0
JPK,0
ANZ,0
EEU,0
FSU,0
MDE,21.5
CAM,10
LAM,10
SAS,0
SEA,7
CHI,16
MAF,21.5
SSA,20
SIS,10
