# FUND scenario
USA,~N(0;0.28;min=-0.645266515499562;max=1.35473348450044)
CAN,~N(0;0.28;min=-0.645266515499562;max=1.35473348450044)
WEU,~N(0;0.2775;min=-0.645129685612399;max=1.3548703143876)
JPK,~N(0;0.2825;min=-0.645237785006474;max=1.35476221499353)
ANZ,~N(0;0.2825;min=-0.645237785006474;max=1.35476221499353)
EEU,~N(0;0.4825;min=-0.702791192885658;max=1.29720880711434)
FSU,~N(0;0.4825;min=-0.702791192885658;max=1.29720880711434)
MDE,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
CAM,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
LAM,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
SAS,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
SEA,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
CHI,~N(0;0.7125;min=-0.761043730670382;max=1.23895626932962)
MAF,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
SSA,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
SIS,~N(0;0.65;min=-0.751960508718775;max=1.24803949128122)
