# FUND scenario
USA,USA
CAN,CAN
WEU,WEU
JPK,JPK
ANZ,ANZ
EEU,EEU
FSU,FSU
MDE,MDE
CAM,CAM
LAM,LAM
SAS,SAS
SEA,SEA
CHI,CHI
MAF,MAF
SSA,SSA
SIS,SIS
