# FUND scenario
USA,~N(0.583433160330257;0.0310749451958314;min=0;max=1)
CAN,~N(0.260515053189669;0.0137582984542109;min=0;max=1)
WEU,~N(0.273314149409615;0.0146688810943221;min=0;max=1)
JPK,~N(0.412066944374299;0.0268279386449215;min=0;max=1)
ANZ,~N(0.548496484507909;0.0353090095289534;min=0;max=1)
EEU,~N(0.193491238230705;0.0120297038764903;min=0;max=1)
FSU,~N(0.555487676094765;0.0344126167165359;min=0;max=1)
MDE,~N(0.628422279667412;0.00914652560895185;min=0;max=1)
CAM,~N(0.678302864355753;0.0264748504908147;min=0;max=1)
LAM,~N(0.756134247750368;0.0200692929944761;min=0;max=1)
SAS,~N(0.929957316565567;0.0241559579142168;min=0;max=1)
SEA,~N(0.81223935947527;0.0429547897395688;min=0;max=1)
CHI,~N(0.707719142022655;0.0243920096916722;min=0;max=1)
MAF,~N(0.336949623686827;0.0195350728174195;min=0;max=1)
SSA,~N(0.798533208857799;0.0442837491243777;min=0;max=1)
SIS,~N(0.667255915065629;0.0408474363982656;min=0;max=1)
