# FUND scenario
USA,~N(95.3;95.3;min=0)
CAN,~N(13;13;min=0)
WEU,~N(153.9;52.6;min=0)
JPK,~N(75.5;54.7;min=0)
ANZ,~N(36.6;26.8;min=0)
EEU,~N(3.1;1.7;min=0)
FSU,~N(54;54;min=0)
MDE,~N(18.9;9.6;min=0)
CAM,~N(42.3;33.8;min=0)
LAM,~N(117.6;79;min=0)
SAS,~N(172;153.6;min=0)
SEA,~N(169.7;84.4;min=0)
CHI,~N(118.4;118.4;min=0)
MAF,~N(19;10.2;min=0)
SSA,~N(84.3;38.3;min=0)
SIS,~N(16;5.7;min=0)
