# FUND scenario
USA,~N(11400;5700;min=0)
CAN,0
WEU,~N(3210;1335;min=0)
JPK,~N(573;573;min=0)
ANZ,~N(256;256;min=0)
EEU,~N(38;18;min=0)
FSU,0
MDE,0
CAM,~N(14775;11171;min=0)
LAM,~N(27234;19016;min=0)
SAS,~N(14303;6005;min=0)
SEA,~N(50885;29599;min=0)
CHI,~N(5879;5879;min=0)
MAF,~N(2649;1989;min=0)
SSA,~N(27847;9024;min=0)
SIS,~N(1528;1067;min=0)
