# FUND scenario
CAM,CAN,~Gamma(1;0.001)
CAM,WEU,~Gamma(1;0.001)
CAM,JPK,~Gamma(1;0.001)
CAM,ANZ,~Gamma(1;0.001)
CAM,EEU,~Gamma(1;0.001)
CAM,FSU,~Gamma(1;0.001)
CAM,MDE,~Gamma(1;0.001)
CAM,CAM,~Gamma(82.987950057818;0.0109772228646444)
CAM,LAM,~Gamma(1;0.005)
CAM,SAS,~Gamma(1;0.001)
CAM,SEA,~Gamma(1;0.001)
CAM,CHI,~Gamma(1;0.001)
CAM,MAF,~Gamma(1;0.001)
CAM,SSA,~Gamma(1;0.001)
CAM,SIS,~Gamma(2;0.1)
LAM,USA,~Gamma(1;0.001)
LAM,CAN,~Gamma(1;0.001)
LAM,WEU,~Gamma(1;0.001)
LAM,JPK,~Gamma(1;0.001)
LAM,ANZ,~Gamma(1;0.001)
LAM,EEU,~Gamma(1;0.001)
LAM,FSU,~Gamma(1;0.001)
LAM,MDE,~Gamma(1;0.001)
LAM,CAM,~Gamma(1;0.005)
LAM,LAM,~Gamma(82.987950057818;0.0109772228646444)
LAM,SAS,~Gamma(1;0.001)
LAM,SEA,~Gamma(1;0.001)
LAM,CHI,~Gamma(1;0.001)
LAM,MAF,~Gamma(1;0.001)
LAM,SSA,~Gamma(1;0.001)
LAM,SIS,~Gamma(2;0.1)
SAS,USA,~Gamma(1;0.001)
SAS,CAN,~Gamma(1;0.001)
SAS,WEU,~Gamma(1;0.001)
SAS,JPK,~Gamma(1;0.001)
SAS,ANZ,~Gamma(1;0.001)
SAS,EEU,~Gamma(1;0.001)
SAS,FSU,~Gamma(1;0.001)
SAS,MDE,~Gamma(1;0.001)
SAS,CAM,~Gamma(1;0.001)
SAS,LAM,~Gamma(1;0.001)
SAS,SAS,~Gamma(82.987950057818;0.0109772228646444)
SAS,SEA,~Gamma(1;0.005)
SAS,CHI,~Gamma(1;0.001)
SAS,MAF,~Gamma(1;0.001)
SAS,SSA,~Gamma(1;0.001)
SAS,SIS,~Gamma(2;0.1)
SEA,USA,~Gamma(1;0.001)
SEA,CAN,~Gamma(1;0.001)
SEA,WEU,~Gamma(1;0.001)
SEA,JPK,~Gamma(1;0.001)
SEA,ANZ,~Gamma(1;0.001)
SEA,EEU,~Gamma(1;0.001)
SEA,FSU,~Gamma(1;0.001)
SEA,MDE,~Gamma(1;0.001)
SEA,CAM,~Gamma(1;0.001)
SEA,LAM,~Gamma(1;0.001)
SEA,SAS,~Gamma(1;0.005)
SEA,SEA,~Gamma(82.987950057818;0.0109772228646444)
SEA,CHI,~Gamma(1;0.005)
SEA,MAF,~Gamma(1;0.001)
SEA,SSA,~Gamma(1;0.001)
SEA,SIS,~Gamma(2;0.1)
CHI,USA,~Gamma(1;0.001)
CHI,CAN,~Gamma(1;0.001)
CHI,WEU,~Gamma(1;0.001)
CHI,JPK,~Gamma(1;0.001)
CHI,ANZ,~Gamma(1;0.001)
CHI,EEU,~Gamma(1;0.001)
CHI,FSU,~Gamma(1;0.001)
CHI,MDE,~Gamma(1;0.001)
CHI,CAM,~Gamma(1;0.001)
CHI,LAM,~Gamma(1;0.001)
CHI,SAS,~Gamma(1;0.001)
CHI,SEA,~Gamma(1;0.001)
CHI,CHI,~Gamma(82.987950057818;0.0109772228646444)
CHI,MAF,~Gamma(1;0.001)
CHI,SSA,~Gamma(1;0.001)
CHI,SIS,~Gamma(1;0.001)
MAF,USA,~Gamma(1;0.001)
MAF,CAN,~Gamma(1;0.001)
MAF,WEU,~Gamma(1;0.001)
MAF,JPK,~Gamma(1;0.001)
MAF,ANZ,~Gamma(1;0.001)
MAF,EEU,~Gamma(1;0.001)
MAF,FSU,~Gamma(1;0.001)
MAF,MDE,~Gamma(1;0.001)
MAF,CAM,~Gamma(1;0.001)
MAF,LAM,~Gamma(1;0.001)
MAF,SAS,~Gamma(1;0.001)
MAF,SEA,~Gamma(1;0.001)
MAF,CHI,~Gamma(1;0.001)
MAF,MAF,~Gamma(82.987950057818;0.0109772228646444)
MAF,SSA,~Gamma(1;0.005)
MAF,SIS,~Gamma(1;0.001)
SSA,USA,~Gamma(1;0.001)
SSA,CAN,~Gamma(1;0.001)
SSA,WEU,~Gamma(1;0.001)
SSA,JPK,~Gamma(1;0.001)
SSA,ANZ,~Gamma(1;0.001)
SSA,EEU,~Gamma(1;0.001)
SSA,FSU,~Gamma(1;0.001)
SSA,MDE,~Gamma(1;0.001)
SSA,CAM,~Gamma(1;0.001)
SSA,LAM,~Gamma(1;0.001)
SSA,SAS,~Gamma(1;0.001)
SSA,SEA,~Gamma(1;0.001)
SSA,CHI,~Gamma(1;0.001)
SSA,MAF,~Gamma(1;0.001)
SSA,SSA,~Gamma(82.987950057818;0.0109772228646444)
SSA,SIS,~Gamma(1;0.001)
SIS,USA,~Gamma(1;0.001)
SIS,CAN,~Gamma(1;0.001)
SIS,WEU,~Gamma(1;0.001)
SIS,JPK,~Gamma(1;0.001)
SIS,ANZ,~Gamma(1;0.001)
SIS,EEU,~Gamma(1;0.001)
SIS,FSU,~Gamma(1;0.001)
SIS,MDE,~Gamma(1;0.001)
SIS,CAM,~Gamma(1;0.001)
SIS,LAM,~Gamma(1;0.001)
SIS,SAS,~Gamma(1;0.001)
SIS,SEA,~Gamma(1;0.001)
SIS,CHI,~Gamma(1;0.001)
SIS,MAF,~Gamma(1;0.001)
SIS,SSA,~Gamma(1;0.001)
SIS,SIS,~Gamma(1;0.1)
