# FUND scenario
USA,~N(0.0259810049019608;0.0213267435505035;min=0)
CAN,~N(0.0923560606060606;0.0800938684660319;min=0)
WEU,~N(0.021883487654321;0.00155285586012424;min=0)
JPK,~N(0.0462338709677419;0.0216697050990404;min=0)
ANZ,~N(0.0396465746205965;0.0707787669743405;min=0)
EEU,~N(0.0475721982758621;0.0973749246061888;min=0)
FSU,~N(0.0418566470712197;0.0751278509694302;min=0)
MDE,~N(0.0421993430741693;0.0705702013176662;min=0)
CAM,~N(0.0638352272727273;0.0428390811061973;min=0)
LAM,~N(0.003045;0.00495797624773007;min=0)
SAS,~N(0.025470079787234;0.0240282059284576;min=0)
SEA,~N(0.0135138888888889;0.00355503300856311;min=0)
CHI,~N(0.0430619429569277;0.0762567733933823;min=0)
MAF,~N(0.03346875;0.0426305042811185;min=0)
SSA,~N(0.0244802631578947;0.0340552582289858;min=0)
SIS,~N(0.0425735877466748;0.0769042893611385;min=0)
